Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
ribX_2,ribX_2,Riboflavin transport system permease protein RibX,MFCJNMFM_02546,JIEPOILB_02714,MHMAIFBA_02484,KGLDIDPM_02548,CFOCILDN_00528
ykfA,ykfA,putative murein peptide carboxypeptidase,MFCJNMFM_02272,JIEPOILB_02989,MHMAIFBA_02224,KGLDIDPM_02275,CFOCILDN_00799
group_1931,,hypothetical protein,MFCJNMFM_03025,JIEPOILB_02235,MHMAIFBA_02995,KGLDIDPM_03028,CFOCILDN_00049
group_1930,,hypothetical protein,MFCJNMFM_02240,JIEPOILB_03021,MHMAIFBA_02193,KGLDIDPM_02243,CFOCILDN_00829
ybhF_1~~~ybhF_2,ybhF_1;ybhF_2,putative multidrug ABC transporter ATP-binding protein YbhF,MFCJNMFM_00171,JIEPOILB_00171,MHMAIFBA_00122;MHMAIFBA_00123,KGLDIDPM_00170,CFOCILDN_02888
codAch2,codAch2,Pterin deaminase,MFCJNMFM_02300,JIEPOILB_02961,MHMAIFBA_02252,KGLDIDPM_02302,CFOCILDN_00773
group_1927,,hypothetical protein,MFCJNMFM_00192,JIEPOILB_00192,MHMAIFBA_00144,KGLDIDPM_00191,CFOCILDN_02867;CFOCILDN_02866
ndmA,ndmA,Methylxanthine N1-demethylase NdmA,MFCJNMFM_02681,JIEPOILB_02579,MHMAIFBA_02615,KGLDIDPM_02683,CFOCILDN_00392
pulL,pulL,Type II secretion system protein L,MFCJNMFM_04177,JIEPOILB_04181,MHMAIFBA_04225,KGLDIDPM_04181,CFOCILDN_01220
norB_1~~~norB_2~~~norB,norB_1;norB_2;norB,Quinolone resistance protein NorB,MFCJNMFM_02983,JIEPOILB_02277,MHMAIFBA_02949,KGLDIDPM_02986;KGLDIDPM_02985,CFOCILDN_00091
ariR,ariR,putative two-component-system connector protein AriR,MFCJNMFM_03654,JIEPOILB_03658,MHMAIFBA_03510,KGLDIDPM_03658,CFOCILDN_04701
tehB,tehB,Tellurite methyltransferase,MFCJNMFM_02397,JIEPOILB_02864,MHMAIFBA_02346,KGLDIDPM_02399,CFOCILDN_00676
group_1926,,hypothetical protein,MFCJNMFM_02406,JIEPOILB_02855,MHMAIFBA_02355,KGLDIDPM_02408,CFOCILDN_00667
pphA,pphA,Serine/threonine-protein phosphatase 1,MFCJNMFM_01997,JIEPOILB_03263,MHMAIFBA_01933,KGLDIDPM_02000,CFOCILDN_02299
group_1925,,hypothetical protein,MFCJNMFM_00264,JIEPOILB_00264,MHMAIFBA_00216,KGLDIDPM_00263,CFOCILDN_02796
kefF_1,kefF_1,Glutathione-regulated potassium-efflux system ancillary protein KefF,MFCJNMFM_00859,JIEPOILB_00860,MHMAIFBA_00876,KGLDIDPM_00859,CFOCILDN_01582
yjfF,yjfF,Inner membrane ABC transporter permease protein YjfF,MFCJNMFM_04592,JIEPOILB_04596,MHMAIFBA_04613,KGLDIDPM_04596,CFOCILDN_02957
group_1924,,hypothetical protein,MFCJNMFM_04508,JIEPOILB_04512,MHMAIFBA_04692,KGLDIDPM_04512,CFOCILDN_03038
group_1923,,hypothetical protein,MFCJNMFM_03791,JIEPOILB_03795,MHMAIFBA_03787,KGLDIDPM_03795,CFOCILDN_02447
nepI_3,nepI_3,Purine ribonucleoside efflux pump NepI,MFCJNMFM_02963,JIEPOILB_02297,MHMAIFBA_02929,KGLDIDPM_02965,CFOCILDN_00111
ulaC_1,ulaC_1,Ascorbate-specific PTS system EIIA component,MFCJNMFM_02594,JIEPOILB_02666,MHMAIFBA_02542,KGLDIDPM_02596,CFOCILDN_00480
paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D,MFCJNMFM_02883,JIEPOILB_02377,MHMAIFBA_02788,KGLDIDPM_02885,CFOCILDN_00191
mepA,mepA,Penicillin-insensitive murein endopeptidase,MFCJNMFM_01573,JIEPOILB_01574,MHMAIFBA_01538,KGLDIDPM_01571,CFOCILDN_04161
rutB_1,rutB_1,Ureidoacrylate amidohydrolase RutB,MFCJNMFM_03244,JIEPOILB_02016,MHMAIFBA_03212,KGLDIDPM_03248,CFOCILDN_03447
group_1921,,hypothetical protein,MFCJNMFM_02094,JIEPOILB_03167,MHMAIFBA_02046,KGLDIDPM_02097,CFOCILDN_02395
sbmA,sbmA,Peptide antibiotic transporter SbmA,MFCJNMFM_03986,JIEPOILB_03990,MHMAIFBA_04052,KGLDIDPM_03990,CFOCILDN_02642
ybhS,ybhS;,putative multidrug ABC transporter permease YbhS;hypothetical protein,MFCJNMFM_03461,JIEPOILB_03465,MHMAIFBA_03469;MHMAIFBA_03468,KGLDIDPM_03465,CFOCILDN_02148
group_1920,,hypothetical protein,MFCJNMFM_02192,JIEPOILB_03069,MHMAIFBA_02145,KGLDIDPM_02195,CFOCILDN_00877
yceO,yceO;,putative protein YceO;hypothetical protein,MFCJNMFM_03211,JIEPOILB_02049,MHMAIFBA_03179,KGLDIDPM_03215,CFOCILDN_03414
phoQ,phoQ,two-component system sensor histidine kinase PhoQ,MFCJNMFM_03145,JIEPOILB_02115,MHMAIFBA_03122,KGLDIDPM_03149,CFOCILDN_04262
barA_1~~~barA_2~~~barA,barA_1;barA_2;barA,Signal transduction histidine-protein kinase BarA,MFCJNMFM_01051,JIEPOILB_01051,MHMAIFBA_01048;MHMAIFBA_01049,KGLDIDPM_01050,CFOCILDN_01396
selU,selU,tRNA 2-selenouridine synthase,MFCJNMFM_03829,JIEPOILB_03833,MHMAIFBA_03894,KGLDIDPM_03833,CFOCILDN_02485
punC,punC,Purine nucleoside transporter,MFCJNMFM_02337,JIEPOILB_02924,MHMAIFBA_02286,KGLDIDPM_02339,CFOCILDN_00736
group_1917,,hypothetical protein,MFCJNMFM_02480,JIEPOILB_02780,MHMAIFBA_02424,KGLDIDPM_02482,CFOCILDN_00594
ddpA_1,ddpA_1,putative DD-dipeptide-binding periplasmic protein DdpA,MFCJNMFM_01753,JIEPOILB_01752,MHMAIFBA_01718,KGLDIDPM_01749,CFOCILDN_03323
yqhC_1,yqhC_1,HTH-type transcriptional regulator YqhC,MFCJNMFM_00750,JIEPOILB_00751,MHMAIFBA_00701,KGLDIDPM_00750,CFOCILDN_01692
flk,flk,Flagellar regulator flk,MFCJNMFM_01580,JIEPOILB_01581,MHMAIFBA_01545,KGLDIDPM_01578,CFOCILDN_04154
group_1916,,hypothetical protein,MFCJNMFM_03132,JIEPOILB_02128,MHMAIFBA_03109,KGLDIDPM_03136,CFOCILDN_04275
group_1915,,hypothetical protein,MFCJNMFM_02623,JIEPOILB_02637,MHMAIFBA_02556,KGLDIDPM_02625,CFOCILDN_00451
hutI,hutI,Imidazolonepropionase,MFCJNMFM_03491,JIEPOILB_03495,MHMAIFBA_03499,KGLDIDPM_03495,CFOCILDN_02178
fbpC2_2~~~fbpC2_1~~~fbpC2,fbpC2_2;fbpC2_1;fbpC2,Fe(3+) ions import ATP-binding protein FbpC 2,MFCJNMFM_03065,JIEPOILB_02195,MHMAIFBA_03035,KGLDIDPM_03068;KGLDIDPM_03069,CFOCILDN_00009
abgB_1~~~abgB_2~~~abgB,abgB_1;abgB_2;abgB,p-aminobenzoyl-glutamate hydrolase subunit B,MFCJNMFM_02820,JIEPOILB_02440,MHMAIFBA_02725;MHMAIFBA_02726,KGLDIDPM_02822,CFOCILDN_00254
group_1914,,hypothetical protein,MFCJNMFM_03727,JIEPOILB_03731,MHMAIFBA_03716,KGLDIDPM_03731,CFOCILDN_03666
licC_3~~~licC_4,licC_3;licC_4,Lichenan permease IIC component,MFCJNMFM_01118,JIEPOILB_01118,MHMAIFBA_01106,KGLDIDPM_01117,CFOCILDN_01330
citC,citC,[Citrate [pro-3S]-lyase] ligase,MFCJNMFM_04295,JIEPOILB_04299,MHMAIFBA_04346,KGLDIDPM_04299,CFOCILDN_01102
group_1913,,hypothetical protein,MFCJNMFM_02079,JIEPOILB_03182,MHMAIFBA_02013,KGLDIDPM_02082,CFOCILDN_02380
group_1912,,hypothetical protein,MFCJNMFM_02077,JIEPOILB_03184,MHMAIFBA_02011,KGLDIDPM_02080,CFOCILDN_02378
tssC1_2~~~tssC1,tssC1_2;tssC1,Type VI secretion system sheath protein TssC1,MFCJNMFM_02955,JIEPOILB_02305,MHMAIFBA_02861,KGLDIDPM_02957,CFOCILDN_00119
chbA_3~~~chbA_4,chbA_3;chbA_4,PTS system NN'-diacetylchitobiose-specific EIIA component,MFCJNMFM_03047,JIEPOILB_02213,MHMAIFBA_03017,KGLDIDPM_03050,CFOCILDN_00027
group_1911,,hypothetical protein,MFCJNMFM_03142,JIEPOILB_02118,MHMAIFBA_03119,KGLDIDPM_03146,CFOCILDN_04265
group_1910,,hypothetical protein,MFCJNMFM_04595,JIEPOILB_04599,MHMAIFBA_04610,KGLDIDPM_04599,CFOCILDN_02954
brnQ,brnQ,Branched-chain amino acid permease BrnQ,MFCJNMFM_03963,JIEPOILB_03967,MHMAIFBA_04029,KGLDIDPM_03967,CFOCILDN_02619
zntB,zntB,Zinc transport protein ZntB,MFCJNMFM_02906,JIEPOILB_02354,MHMAIFBA_02811,KGLDIDPM_02908,CFOCILDN_00168
nudI,nudI,Nucleoside triphosphatase NudI,MFCJNMFM_01633,JIEPOILB_01634,MHMAIFBA_01598,KGLDIDPM_01631,CFOCILDN_04101
yedS,yedS,Outer membrane protein YedS,MFCJNMFM_03322,JIEPOILB_03326,MHMAIFBA_03282,KGLDIDPM_03326,CFOCILDN_01967
group_1909,,IS3 family transposase ISKpn1,MFCJNMFM_01810;MFCJNMFM_01811,JIEPOILB_01816;JIEPOILB_01817,MHMAIFBA_01786,KGLDIDPM_01814;KGLDIDPM_01813,CFOCILDN_04934;CFOCILDN_04935
yphB,yphB,putative protein YphB,MFCJNMFM_01340,JIEPOILB_01341,MHMAIFBA_01334,KGLDIDPM_01338,CFOCILDN_03178
yhdP_2~~~yhdP_1~~~yhdP,yhdP_2;yhdP_1;yhdP,Intermembrane phospholipid transporter YhdP,MFCJNMFM_00529,JIEPOILB_00530,MHMAIFBA_00480;MHMAIFBA_00481,KGLDIDPM_00529,CFOCILDN_01912
csbX_2,csbX_2,Alpha-ketoglutarate permease,MFCJNMFM_01750,JIEPOILB_01749,MHMAIFBA_01715,KGLDIDPM_01746,CFOCILDN_03320
dgoK_2,dgoK_2,2-dehydro-3-deoxygalactonokinase,MFCJNMFM_04389,JIEPOILB_04393,MHMAIFBA_04444,KGLDIDPM_04393,CFOCILDN_01010
rimP,rimP,Ribosome maturation factor RimP,MFCJNMFM_00596,JIEPOILB_00597,MHMAIFBA_00548,KGLDIDPM_00596,CFOCILDN_01845
group_1907,,hypothetical protein,MFCJNMFM_02366,JIEPOILB_02895,MHMAIFBA_02315,KGLDIDPM_02368,CFOCILDN_00707
corC,corC,Magnesium and cobalt efflux protein CorC,MFCJNMFM_03554,JIEPOILB_03558,MHMAIFBA_03599,KGLDIDPM_03558,CFOCILDN_04458
licH_1,licH_1,putative 6-phospho-beta-glucosidase,MFCJNMFM_02974,JIEPOILB_02286,MHMAIFBA_02940,KGLDIDPM_02976,CFOCILDN_00100
group_1906,,hypothetical protein,MFCJNMFM_00635,JIEPOILB_00636,MHMAIFBA_00587,KGLDIDPM_00635,CFOCILDN_01806
group_1905,,hypothetical protein,MFCJNMFM_04831,JIEPOILB_04835,MHMAIFBA_04792,KGLDIDPM_04835,CFOCILDN_04791
malI,malI,Maltose regulon regulatory protein MalI,MFCJNMFM_02842,JIEPOILB_02418,MHMAIFBA_02747,KGLDIDPM_02844,CFOCILDN_00232
group_1904,,hypothetical protein,MFCJNMFM_02501,JIEPOILB_02759,MHMAIFBA_02445,KGLDIDPM_02503,CFOCILDN_00573
rnpA,rnpA;,Ribonuclease P protein component;hypothetical protein,MFCJNMFM_05105,JIEPOILB_05108,MHMAIFBA_05062,KGLDIDPM_05108,CFOCILDN_03758
group_1903,,hypothetical protein,MFCJNMFM_00017,JIEPOILB_00017,MHMAIFBA_00017,KGLDIDPM_00017,CFOCILDN_03775
pduO_2,pduO_2,Corrinoid adenosyltransferase PduO,MFCJNMFM_00688,JIEPOILB_00689,MHMAIFBA_00639,KGLDIDPM_00688,CFOCILDN_01753
group_1902,,hypothetical protein,MFCJNMFM_00257,JIEPOILB_00257,MHMAIFBA_00207,KGLDIDPM_00256,CFOCILDN_02803
group_1901,,hypothetical protein,MFCJNMFM_02492,JIEPOILB_02768,MHMAIFBA_02436,KGLDIDPM_02494,CFOCILDN_00582
group_1900,,hypothetical protein,MFCJNMFM_03374,JIEPOILB_03378,MHMAIFBA_03334,KGLDIDPM_03378,CFOCILDN_02019
group_1899,,hypothetical protein,MFCJNMFM_01667,JIEPOILB_01667,MHMAIFBA_01632,KGLDIDPM_01664,CFOCILDN_03238
group_1898,,Tn3 family transposase,MFCJNMFM_00147,JIEPOILB_00146,MHMAIFBA_05303,KGLDIDPM_00146,CFOCILDN_04926
dnaK_1,dnaK_1,Chaperone protein DnaK,MFCJNMFM_01771,JIEPOILB_01770,MHMAIFBA_01736,KGLDIDPM_01767,CFOCILDN_03341
group_1897,,hypothetical protein,MFCJNMFM_02157,JIEPOILB_03104,MHMAIFBA_02109,KGLDIDPM_02160,CFOCILDN_00912
group_1896,,hypothetical protein,MFCJNMFM_01457,JIEPOILB_01458,MHMAIFBA_01498,KGLDIDPM_01455,CFOCILDN_03062
entD,entD,Enterobactin synthase component D,MFCJNMFM_03694,JIEPOILB_03698,MHMAIFBA_03683,KGLDIDPM_03698,CFOCILDN_03633
greB,greB,Transcription elongation factor GreB,MFCJNMFM_00384,JIEPOILB_00384,MHMAIFBA_00335,KGLDIDPM_00383,CFOCILDN_04478
acsAB,acsAB,Cellulose synthase 1,MFCJNMFM_00266,JIEPOILB_00266,MHMAIFBA_00218,KGLDIDPM_00265,CFOCILDN_02794
higB2~~~higB2_1,higB2;higB2_1,Putative toxin HigB2,MFCJNMFM_00366,JIEPOILB_00366,MHMAIFBA_00317,KGLDIDPM_00365,CFOCILDN_02695
fhuA_2,fhuA_2,Ferrichrome outer membrane transporter/phage receptor,MFCJNMFM_04164,JIEPOILB_04168,MHMAIFBA_04212,KGLDIDPM_04168,CFOCILDN_01233
vgrG2b_2~~~vgrG2b_6,vgrG2b_2;vgrG2b_6,Type VI secretion system spike protein VgrG2b,MFCJNMFM_02949,JIEPOILB_02311,MHMAIFBA_02855,KGLDIDPM_02951,CFOCILDN_00125
mdtA_1,mdtA_1,Multidrug resistance protein MdtA,MFCJNMFM_01765,JIEPOILB_01764,MHMAIFBA_01730,KGLDIDPM_01761,CFOCILDN_03335
ycbB,ycbB,putative LD-transpeptidase YcbB,MFCJNMFM_03327,JIEPOILB_03331,MHMAIFBA_03287,KGLDIDPM_03331,CFOCILDN_01972
group_1892,,hypothetical protein,MFCJNMFM_00551,JIEPOILB_00552,MHMAIFBA_00503,KGLDIDPM_00551,CFOCILDN_01890
bla_4,bla_4,Beta-lactamase TEM,MFCJNMFM_05246,JIEPOILB_05242,MHMAIFBA_05253,KGLDIDPM_05243,CFOCILDN_04473
tnpR,tnpR,Transposon Tn3 resolvase,MFCJNMFM_05245,JIEPOILB_05241,MHMAIFBA_05248,KGLDIDPM_05242,CFOCILDN_04474
group_1879,oadB_1,Oxaloacetate decarboxylase beta chain,MFCJNMFM_04299,JIEPOILB_04303,MHMAIFBA_04350,KGLDIDPM_04303,CFOCILDN_01098
group_1878,dmsB_1,Anaerobic dimethyl sulfoxide reductase chain B,MFCJNMFM_03352,JIEPOILB_03356,MHMAIFBA_03312,KGLDIDPM_03356,CFOCILDN_01997
dmsB_1,dmsB_1,Anaerobic dimethyl sulfoxide reductase chain B,MFCJNMFM_02776,JIEPOILB_02484,MHMAIFBA_02680,KGLDIDPM_02778,CFOCILDN_00298
group_1859,,IS110 family transposase IS5075,MFCJNMFM_00335,JIEPOILB_05221,MHMAIFBA_05259,KGLDIDPM_00334,CFOCILDN_04467
group_1830,,IS6 family transposase IS26,MFCJNMFM_00124,JIEPOILB_00123,MHMAIFBA_05261,KGLDIDPM_00123,CFOCILDN_04939
group_1805,,hypothetical protein,MFCJNMFM_00764,JIEPOILB_00765,MHMAIFBA_00716,KGLDIDPM_00764,CFOCILDN_01678
group_1804,,hypothetical protein,MFCJNMFM_00031,JIEPOILB_00031,MHMAIFBA_00031,KGLDIDPM_00031,CFOCILDN_03789
group_1803,,hypothetical protein,MFCJNMFM_03477,JIEPOILB_03481,MHMAIFBA_03485,KGLDIDPM_03481,CFOCILDN_02164
group_1802,,hypothetical protein,MFCJNMFM_02418,JIEPOILB_02842,MHMAIFBA_02366,KGLDIDPM_02420,CFOCILDN_00656
group_1801,,hypothetical protein,MFCJNMFM_02340,JIEPOILB_02921,MHMAIFBA_02289,KGLDIDPM_02342,CFOCILDN_00733
group_1800,,hypothetical protein,MFCJNMFM_04586,JIEPOILB_04590,MHMAIFBA_04619,KGLDIDPM_04590,CFOCILDN_02963
group_1799,,hypothetical protein,MFCJNMFM_02504,JIEPOILB_02756,MHMAIFBA_02448,KGLDIDPM_02506,CFOCILDN_00570
group_1798,,hypothetical protein,MFCJNMFM_02081,JIEPOILB_03180,MHMAIFBA_02016,KGLDIDPM_02084,CFOCILDN_02382
group_1797,,hypothetical protein,MFCJNMFM_00032,JIEPOILB_00032,MHMAIFBA_00032,KGLDIDPM_00032,CFOCILDN_03790
group_1795,,hypothetical protein,MFCJNMFM_02705,JIEPOILB_02555,MHMAIFBA_02638,KGLDIDPM_02707,CFOCILDN_00369
group_1794,,hypothetical protein,MFCJNMFM_02409,JIEPOILB_02852,MHMAIFBA_02358,KGLDIDPM_02411,CFOCILDN_00664
yoaK,yoaK,putative membrane protein YoaK,MFCJNMFM_03111,JIEPOILB_02149,MHMAIFBA_03089,KGLDIDPM_03115,CFOCILDN_04295
group_1792,,hypothetical protein,MFCJNMFM_00408,JIEPOILB_00408,MHMAIFBA_00359,KGLDIDPM_00407,CFOCILDN_04502
group_1791,,hypothetical protein,MFCJNMFM_03122,JIEPOILB_02138,MHMAIFBA_03100,KGLDIDPM_03126,CFOCILDN_04284
group_1790,,hypothetical protein,MFCJNMFM_02786,JIEPOILB_02474,MHMAIFBA_02690,KGLDIDPM_02788,CFOCILDN_00288
group_1785,,hypothetical protein,MFCJNMFM_03733,JIEPOILB_03737,MHMAIFBA_03724,KGLDIDPM_03737,CFOCILDN_03672
group_1781,,hypothetical protein,MFCJNMFM_01726,JIEPOILB_01726,MHMAIFBA_01692,KGLDIDPM_01723,CFOCILDN_03297
cydX,cydX,Cytochrome bd-I ubiquinol oxidase subunit X,MFCJNMFM_03611,JIEPOILB_03615,MHMAIFBA_03544,KGLDIDPM_03615,CFOCILDN_04627
group_1779,,hypothetical protein,MFCJNMFM_03258,JIEPOILB_02002,MHMAIFBA_03225,KGLDIDPM_03262,CFOCILDN_03461
group_1778,,hypothetical protein,MFCJNMFM_02417,JIEPOILB_02843,MHMAIFBA_02365,KGLDIDPM_02419,CFOCILDN_00657
mntS,mntS,Small protein MntS,MFCJNMFM_03436,JIEPOILB_03440,MHMAIFBA_03443,KGLDIDPM_03440,CFOCILDN_02123
group_1773,,hypothetical protein,MFCJNMFM_04511,JIEPOILB_04515,MHMAIFBA_04689,KGLDIDPM_04515,CFOCILDN_03035
ykgO,ykgO,Large ribosomal subunit protein bL36B,MFCJNMFM_03868,JIEPOILB_03872,MHMAIFBA_03934,KGLDIDPM_03872,CFOCILDN_02525
sra,sra,Stationary-phase-induced ribosome-associated protein,MFCJNMFM_02494,JIEPOILB_02766,MHMAIFBA_02438,KGLDIDPM_02496,CFOCILDN_00580
group_1766,,hypothetical protein,MFCJNMFM_02292,JIEPOILB_02969,MHMAIFBA_02243,KGLDIDPM_02294,CFOCILDN_00781
group_1758,,hypothetical protein,MFCJNMFM_02508,JIEPOILB_02752,MHMAIFBA_02453,KGLDIDPM_02510,CFOCILDN_00566
acrZ,acrZ,Multidrug efflux pump accessory protein AcrZ,MFCJNMFM_03648,JIEPOILB_03652,MHMAIFBA_03516,KGLDIDPM_03652,CFOCILDN_04695
group_1755,,hypothetical protein,MFCJNMFM_02326,JIEPOILB_02935,MHMAIFBA_02276,KGLDIDPM_02328,CFOCILDN_00747
group_1750,,hypothetical protein,MFCJNMFM_04260,JIEPOILB_04264,MHMAIFBA_04311,KGLDIDPM_04264,CFOCILDN_01137
group_1749,,hypothetical protein,MFCJNMFM_03959,JIEPOILB_03963,MHMAIFBA_04025,KGLDIDPM_03963,4_refound_16
group_1747,,hypothetical protein,MFCJNMFM_01254,JIEPOILB_01254,2_refound_0,KGLDIDPM_01252,4_refound_7
hokE,hokE,Toxic protein HokE,MFCJNMFM_01084,JIEPOILB_01084,MHMAIFBA_01082,KGLDIDPM_01083,CFOCILDN_01363
group_1741,,hypothetical protein,MFCJNMFM_02852,JIEPOILB_02408,MHMAIFBA_02757,KGLDIDPM_02854,CFOCILDN_00222
group_1740,,hypothetical protein,MFCJNMFM_02822,JIEPOILB_02438,MHMAIFBA_02728,KGLDIDPM_02824,CFOCILDN_00252
group_1738,,hypothetical protein,MFCJNMFM_04352,JIEPOILB_04356,MHMAIFBA_04403,KGLDIDPM_04356,CFOCILDN_01045
group_1736,,hypothetical protein,MFCJNMFM_04434,JIEPOILB_04438,MHMAIFBA_04483,KGLDIDPM_04438,CFOCILDN_00965
group_1735,,hypothetical protein,MFCJNMFM_03381,JIEPOILB_03385,MHMAIFBA_03341,KGLDIDPM_03385,4_refound_15
group_1733,,hypothetical protein,MFCJNMFM_03008,JIEPOILB_02252,MHMAIFBA_02974,KGLDIDPM_03011,CFOCILDN_00066
group_1732,,hypothetical protein,MFCJNMFM_00643,JIEPOILB_00644,MHMAIFBA_00594,KGLDIDPM_00643,CFOCILDN_01798
yhfG,yhfG,putative protein YhfG,MFCJNMFM_00412,JIEPOILB_00412,MHMAIFBA_00363,KGLDIDPM_00411,CFOCILDN_04506
rpmG,rpmG,Large ribosomal subunit protein bL33,MFCJNMFM_00180,JIEPOILB_00180,MHMAIFBA_00132,KGLDIDPM_00179,CFOCILDN_02879
group_1726,,hypothetical protein,MFCJNMFM_04005,JIEPOILB_04009,MHMAIFBA_04071,KGLDIDPM_04009,CFOCILDN_02661
group_1725,,hypothetical protein,MFCJNMFM_03816,JIEPOILB_03820,MHMAIFBA_03812,KGLDIDPM_03820,CFOCILDN_02472
group_1722,,hypothetical protein,MFCJNMFM_03856,JIEPOILB_03860,MHMAIFBA_03922,KGLDIDPM_03860,CFOCILDN_02513
rpmF,rpmF,Large ribosomal subunit protein bL32,MFCJNMFM_03194,JIEPOILB_02066,MHMAIFBA_03162,KGLDIDPM_03198,CFOCILDN_03397
ortT,ortT,Orphan toxin OrtT,MFCJNMFM_02419,JIEPOILB_02841,MHMAIFBA_02367,KGLDIDPM_02421,CFOCILDN_00655
yfgG,yfgG,Protein YfgG,MFCJNMFM_01383,JIEPOILB_01384,MHMAIFBA_01426,KGLDIDPM_01381,CFOCILDN_03135
group_1718,,hypothetical protein,MFCJNMFM_02998,JIEPOILB_02262,MHMAIFBA_02964,KGLDIDPM_03001,CFOCILDN_00076
group_1716,,hypothetical protein,MFCJNMFM_01194,JIEPOILB_01194,MHMAIFBA_01182,KGLDIDPM_01192,CFOCILDN_03928
rpmD,rpmD,Large ribosomal subunit protein uL30,MFCJNMFM_00459,JIEPOILB_00459,MHMAIFBA_00410,KGLDIDPM_00458,CFOCILDN_04842
group_1715,,hypothetical protein,MFCJNMFM_03335,JIEPOILB_03339,MHMAIFBA_03295,KGLDIDPM_03339,CFOCILDN_01980
group_1710,,Putative virulence-regulating protein,MFCJNMFM_03129,JIEPOILB_02131,MHMAIFBA_03107,KGLDIDPM_03133,CFOCILDN_04277
ynbE,ynbE,Outer membrane lipoprotein YnbE,MFCJNMFM_02894,JIEPOILB_02366,MHMAIFBA_02799,KGLDIDPM_02896,CFOCILDN_00180
group_1709,,hypothetical protein,MFCJNMFM_02381,JIEPOILB_02880,MHMAIFBA_02330,KGLDIDPM_02383,CFOCILDN_00692
group_1708,,hypothetical protein,MFCJNMFM_02025,JIEPOILB_03236,MHMAIFBA_01960,KGLDIDPM_02028,CFOCILDN_02326
csrA,csrA,Carbon storage regulator,MFCJNMFM_01163,JIEPOILB_01163,MHMAIFBA_01151,KGLDIDPM_01162,CFOCILDN_01285
group_1702,,hypothetical protein,MFCJNMFM_03272,JIEPOILB_01988,MHMAIFBA_03238,KGLDIDPM_03276,CFOCILDN_03475
group_1700,,hypothetical protein,MFCJNMFM_00765,JIEPOILB_00766,MHMAIFBA_00717,KGLDIDPM_00765,CFOCILDN_01677
yhjR,yhjR,Protein YhjR,MFCJNMFM_00274,JIEPOILB_00274,MHMAIFBA_00226,KGLDIDPM_00273,CFOCILDN_02786
group_1694,,hypothetical protein,MFCJNMFM_04512,JIEPOILB_04516,MHMAIFBA_04688,KGLDIDPM_04516,CFOCILDN_03034
yaiA,yaiA,putative protein YaiA,MFCJNMFM_03972,JIEPOILB_03976,MHMAIFBA_04038,KGLDIDPM_03976,CFOCILDN_02628
group_1693,,hypothetical protein,MFCJNMFM_03260,JIEPOILB_02000,2_refound_3,KGLDIDPM_03264,CFOCILDN_03463
group_1692,,hypothetical protein,MFCJNMFM_01998,JIEPOILB_03262,MHMAIFBA_01934,KGLDIDPM_02001,CFOCILDN_02300
group_1691,,hypothetical protein,MFCJNMFM_01995,JIEPOILB_03265,MHMAIFBA_01931,KGLDIDPM_01998,CFOCILDN_02297
dsrB,dsrB,Protein DsrB,MFCJNMFM_01862,JIEPOILB_01868,MHMAIFBA_01864,KGLDIDPM_01865,CFOCILDN_02230
rpmC,rpmC,Large ribosomal subunit protein uL29,MFCJNMFM_00449,JIEPOILB_00449,MHMAIFBA_00400,KGLDIDPM_00448,CFOCILDN_04852
yacG,yacG,DNA gyrase inhibitor YacG,MFCJNMFM_04225,JIEPOILB_04229,MHMAIFBA_04276,KGLDIDPM_04229,CFOCILDN_01172
group_1684,,hypothetical protein,MFCJNMFM_02909,JIEPOILB_02351,MHMAIFBA_02814,KGLDIDPM_02911,CFOCILDN_00165
group_1683,,hypothetical protein,MFCJNMFM_02703,JIEPOILB_02557,MHMAIFBA_02636,KGLDIDPM_02705,CFOCILDN_00371
bfd,bfd,Bacterioferritin-associated ferredoxin,MFCJNMFM_00437,JIEPOILB_00437,MHMAIFBA_00388,KGLDIDPM_00436,CFOCILDN_04864
group_1678,,hypothetical protein,MFCJNMFM_04540,JIEPOILB_04544,MHMAIFBA_04660,KGLDIDPM_04544,CFOCILDN_03008
group_1677,,hypothetical protein,MFCJNMFM_03678,JIEPOILB_03682,MHMAIFBA_03667,KGLDIDPM_03682,CFOCILDN_03617
group_1676,,hypothetical protein,MFCJNMFM_03123,JIEPOILB_02137,MHMAIFBA_03101,KGLDIDPM_03127,CFOCILDN_04283
group_1675,,hypothetical protein,MFCJNMFM_02198,JIEPOILB_03063,MHMAIFBA_02151,KGLDIDPM_02201,CFOCILDN_00871
rpmI,rpmI,Large ribosomal subunit protein bL35,MFCJNMFM_02160,JIEPOILB_03101,MHMAIFBA_02112,KGLDIDPM_02163,CFOCILDN_00909
glgS_2,glgS_2,Surface composition regulator,MFCJNMFM_00724,JIEPOILB_00725,MHMAIFBA_00675,KGLDIDPM_00724,CFOCILDN_01718
bcsF,bcsF,Cellulose biosynthesis protein BcsF,MFCJNMFM_00272,JIEPOILB_00272,MHMAIFBA_00224,KGLDIDPM_00271,CFOCILDN_02788
thiS,thiS,Sulfur carrier protein ThiS,MFCJNMFM_04847,JIEPOILB_04851,MHMAIFBA_04808,KGLDIDPM_04851,CFOCILDN_04775
